p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.2,0.7,3.46,1.486,7.49,2.443,0.051,0.034,0.038,0.024
0.2,0.7,3.97,1.597,7.68,2.357,0.081,0.05,0.065,0.038
0.2,0.7,3.73,1.548,7.28,2.743,0.074,0.051,0.06,0.04
0.2,0.8,3.7,1.5,7.27,2.374,0.074,0.041,0.056,0.032
0.2,0.8,3.83,1.55,7.51,2.456,0.051,0.027,0.035,0.018
0.2,0.8,3.86,1.421,7.52,2.555,0.067,0.047,0.049,0.032
0.2,0.8,3.38,1.561,6.28,2.573,0.084,0.033,0.063,0.025
0.2,0.8,3.62,1.617,7.12,2.695,0.057,0.037,0.039,0.028
0.2,0.8,3.4,1.428,6.46,2.291,0.076,0.04,0.05,0.027
0.2,0.8,3.78,1.474,6.48,2.381,0.066,0.05,0.048,0.037
0.2,0.8,3.95,1.571,7.28,2.779,0.075,0.027,0.054,0.023
0.2,0.8,3.95,1.417,8.25,2.621,0.071,0.048,0.057,0.038
0.2,0.8,3.42,1.779,7.96,2.51,0.04,0.033,0.028,0.026
0.2,0.9,3.72,1.45,7.3,2.625,0.089,0.041,0.069,0.03
0.2,0.9,3.84,1.468,7.74,2.508,0.055,0.044,0.042,0.031
0.2,0.9,3.62,1.623,7.56,2.347,0.052,0.043,0.039,0.026
0.2,0.9,3.56,1.472,6.25,2.451,0.084,0.038,0.058,0.025
0.2,0.9,3.51,1.425,6.73,2.596,0.085,0.04,0.059,0.031
0.2,0.9,3.32,1.529,5.63,2.301,0.081,0.049,0.056,0.035
0.2,0.9,3.35,1.532,7.68,2.481,0.049,0.03,0.031,0.023
0.2,0.9,3.91,1.53,8.03,2.282,0.084,0.051,0.068,0.037
0.2,0.9,3.49,1.411,6.49,2.364,0.086,0.046,0.064,0.032
0.2,0.9,3.34,1.351,6.37,2.493,0.056,0.043,0.035,0.03
0.2,1.0,3.75,1.596,8.0,2.47,0.082,0.042,0.067,0.031
0.2,1.0,3.49,1.473,6.46,2.714,0.081,0.029,0.057,0.02
0.2,1.0,3.27,1.516,6.5,2.663,0.074,0.044,0.053,0.03
0.2,1.0,3.46,1.466,6.54,2.535,0.081,0.047,0.056,0.033
0.2,1.0,3.67,1.47,7.95,2.722,0.061,0.026,0.041,0.02
0.2,1.0,3.35,1.633,5.82,2.551,0.07,0.035,0.045,0.025
0.2,1.0,3.63,1.494,7.2,2.653,0.068,0.03,0.048,0.024
0.2,1.0,3.54,1.577,6.89,2.49,0.07,0.041,0.052,0.028
0.2,1.0,3.16,1.579,6.15,2.747,0.06,0.035,0.042,0.028
0.2,1.0,3.9,1.493,7.63,2.369,0.055,0.037,0.041,0.03
0.3,0.0,4.15,1.67,10.25,2.321,0.046,0.08,0.037,0.063
0.3,0.0,3.79,1.505,9.81,2.314,0.04,0.066,0.033,0.052
0.3,0.0,3.91,1.47,9.59,2.754,0.045,0.073,0.035,0.055
0.3,0.0,3.97,1.52,9.56,2.192,0.038,0.052,0.032,0.042
0.3,0.0,3.83,1.524,9.06,2.453,0.032,0.056,0.026,0.039
0.3,0.0,3.84,1.44,9.52,2.544,0.045,0.07,0.037,0.054
0.3,0.0,4.03,1.634,9.75,2.586,0.046,0.051,0.045,0.028
0.3,0.0,4.1,1.411,9.73,2.258,0.043,0.058,0.035,0.048
0.3,0.0,3.95,1.609,9.82,2.431,0.052,0.067,0.052,0.044
0.3,0.0,4.0,1.4,9.66,2.401,0.043,0.068,0.035,0.052
0.3,0.1,4.12,1.657,9.44,2.389,0.041,0.072,0.033,0.055
0.3,0.1,4.07,1.485,9.53,2.398,0.059,0.091,0.047,0.068
