p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.2,0.5,3.3,0.656,6.14,1.667,0.063,0.071,0.051,0.057
0.2,0.5,3.1,0.806,5.26,1.863,0.031,0.033,0.031,0.021
0.2,0.5,3.18,0.726,6.12,1.966,0.051,0.064,0.041,0.05
0.2,0.6,3.07,0.778,5.36,1.712,0.037,0.038,0.031,0.029
0.2,0.6,3.19,0.703,5.06,1.777,0.058,0.049,0.036,0.041
0.2,0.6,3.05,0.698,5.38,1.928,0.055,0.046,0.042,0.033
0.2,0.6,3.15,0.766,6.12,2.104,0.057,0.054,0.044,0.045
0.2,0.6,3.24,0.68,5.3,1.857,0.059,0.054,0.036,0.045
0.2,0.6,3.23,0.746,5.37,1.885,0.052,0.048,0.04,0.035
0.2,0.6,3.15,0.572,5.31,1.932,0.038,0.036,0.023,0.03
0.2,0.6,2.9,0.794,5.41,1.767,0.054,0.051,0.042,0.037
0.2,0.6,3.16,0.771,5.39,1.743,0.038,0.045,0.036,0.036
0.2,0.6,3.13,0.716,5.82,2.085,0.047,0.059,0.037,0.042
0.2,0.7,3.06,0.746,5.1,1.682,0.048,0.027,0.039,0.025
0.2,0.7,3.13,0.716,4.68,1.63,0.05,0.05,0.036,0.033
0.2,0.7,2.81,0.688,5.2,1.822,0.042,0.036,0.034,0.027
0.2,0.7,3.08,0.717,5.22,1.628,0.052,0.052,0.037,0.039
0.2,0.7,2.91,0.895,4.39,1.708,0.062,0.029,0.035,0.026
0.2,0.7,3.0,0.762,4.69,1.815,0.054,0.035,0.032,0.028
0.2,0.7,2.88,0.886,4.56,2.002,0.048,0.031,0.028,0.02
0.2,0.7,3.06,0.759,5.08,1.82,0.053,0.048,0.039,0.033
0.2,0.7,2.99,0.781,4.93,1.883,0.05,0.03,0.032,0.027
0.2,0.7,3.16,0.717,5.74,1.858,0.041,0.049,0.031,0.038
0.2,0.8,3.11,0.72,4.98,1.954,0.053,0.036,0.031,0.029
0.2,0.8,2.92,0.845,4.46,1.603,0.031,0.017,0.015,0.009
0.2,0.8,2.92,0.783,5.08,1.695,0.047,0.035,0.033,0.026
0.2,0.8,3.03,0.768,5.14,1.944,0.042,0.035,0.029,0.03
0.2,0.8,2.96,0.836,4.92,1.653,0.064,0.041,0.048,0.028
0.2,0.8,2.93,0.778,5.51,1.658,0.043,0.043,0.037,0.031
0.2,0.8,3.1,0.686,5.54,1.957,0.045,0.04,0.038,0.033
0.2,0.8,2.95,0.726,4.99,2.027,0.044,0.034,0.028,0.03
